Team,Team_Number,Pos,Draw,Goals_For,Goal_Difference,Pts
Arsenal,1,5,6,77,33,75
Aston Villa,2,0,0,0,0,0
Bournemouth,3,9,10,55,-12,46
Brighton,4,0,0,0,0,0
Burnley,5,16,7,39,-16,40
Cardiff,6,0,0,0,0,0
Chelsea,7,1,3,85,52,93
Crystal Palace,8,14,5,50,-13,41
Everton,9,7,10,62,18,61
Fulham,10,0,0,0,0,0
Huddersfield,11,0,0,0,0,0
Hull,12,18,7,37,-43,34
Leicester,13,12,8,48,-15,44
Liverpool,14,4,10,78,36,76
Man City,15,3,9,80,41,78
Man United,16,6,15,54,25,69
Middlesbrough,17,19,13,27,-26,28
Newcastle,18,0,0,0,0,0
Norwich,19,0,0,0,0,0
Sheffield United,20,0,0,0,0,0
Southampton,21,8,10,41,-7,46
Stoke,22,13,11,41,-15,44
Sunderland,23,20,6,29,-40,24
Swansea,24,15,5,45,-25,41
Tottenham,25,2,8,86,60,86
Watford,26,17,7,40,-28,40
West Brom,27,10,9,43,-8,45
West Ham,28,11,9,47,-17,45
Wolves,29,0,0,0,0,0