Team,Team_Number,Av_Salary_Club,Draw,Goals_For,Goal_Difference
Arsenal,1,4.85,260,1845,832
Aston Villa,2,1.3,275,1117,-69
Bournemouth,3,1.99,36,201,-64
Brighton,4,1.7,22,69,-45
Burnley,5,1.6,44,190,-107
Cardiff,6,0.96,13,66,-77
Chelsea,7,5.02,257,1770,768
Crystal Palace,8,2.76,96,425,-139
Everton,9,3.25,296,1357,46
Fulham,10,1.73,141,604,-174
Huddersfield,11,1.24,17,50,-84
Hull,12,0.4,48,181,-142
Leicester,13,2.71,136,623,-95
Liverpool,14,4.86,262,1774,728
Man City,15,5.99,196,1374,399
Man United,16,6.53,224,1989,1060
Middlesbrough,17,0.91,169,648,-146
Newcastle,18,1.65,234,1249,14
Norwich,19,0.65,92,365,-145
Sheffield United,20,0.62,36,128,-40
Southampton,21,2.67,214,937,-150
Stoke,22,1.96,109,398,-127
Sunderland,23,1.14,159,612,-292
Swansea,24,1.47,66,306,-77
Tottenham,25,3.52,257,1547,241
Watford,26,1.78,51,240,-137
West Brom,27,1.88,128,475,-221
West Ham,28,3.19,228,1064,-205
Wolves,29,1.76,49,203,-124